Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2020-01-02,72.53850555419922,152.7911376953125,28.68400001525879,72.59888386623527,152.89577671233235,28.713333129882812,71.29229630932706,150.61276208742146,28.11400032043457,71.54588227171874,151.04082551521063,28.299999237060547,135480400,22622100,142981500
2020-01-03,71.83329010009766,150.88853454589844,29.534000396728516,72.59405542623057,152.1537093877142,30.266666412353516,71.60868452797844,150.35583240514333,29.128000259399414,71.76566667933918,150.6031687669544,29.366666793823242,146322800,21116200,266677500
2020-01-06,72.40567779541016,151.27862548828125,30.1026668548584,72.44432080433776,151.34522054495744,30.104000091552734,70.7030121336898,148.88145020381464,29.333332061767578,70.95418800651902,149.42367447085834,29.364667892456055,118387200,20813700,151995000
2020-01-07,72.06515502929688,149.89927673339844,31.270666122436523,72.67134838279743,151.88740299171096,31.441999435424805,71.84537704823941,149.6519548138877,30.224000930786133,72.41534488187352,151.55447131333676,30.760000228881836,108872000,21634100,268231500
2020-01-08,73.22440338134766,152.2869415283203,32.80933380126953,73.5262949460089,152.96234132463985,33.232666015625,71.76807876823776,150.25124929659466,31.215333938598633,71.76807876823776,151.18347838942788,31.579999923706055,132079200,27746500,467164500
2020-01-09,74.7797622680664,154.18948364257812,32.089332580566406,74.97296995476395,154.31315188987753,33.253334045410156,73.95137344000949,153.18115197551302,31.524667739868164,74.20254195863613,153.95166902241928,33.13999938964844,170108400,21385000,426606000
2020-01-10,74.94880676269531,153.4759979248047,31.876667022705078,75.51395427727236,155.2643680254763,32.3293342590332,74.446462424671,153.32379312580102,31.579999923706055,75.01402005997716,154.88387054301572,32.11933135986328,140644800,20725900,194392500
2020-01-13,76.550048828125,155.3214569091797,34.990665435791016,76.57661912211044,155.34999349749867,35.04199981689453,75.14685723047293,153.39991104375198,32.79999923706055,75.26520375211625,153.87554020246824,32.900001525878906,121532000,21626500,397764000
2020-01-14,75.51636505126953,154.22755432128906,35.861331939697266,76.6973684411486,155.62590555974256,36.49399948120117,75.39319829942681,153.83753482973594,34.99333190917969,76.48725308231118,155.42613487636908,36.284000396728516,161954400,23477400,434943000
2020-01-15,75.19273376464844,155.22634887695312,34.56666564941406,76.19742976100052,155.9493145977765,35.85599899291992,74.76042298692015,154.6460951495271,34.452667236328125,75.31590787968373,154.69364646058995,35.31733322143555,121923600,21417900,260532000
2020-01-16,76.13463592529297,158.0706024169922,34.232666015625,76.24573732895618,158.1371974704603,34.297332763671875,75.37387064834499,156.03491007528677,32.81133270263672,75.73614052978684,156.3393197224824,32.91666793823242,108829200,23865400,326050500
2020-01-17,76.97752380371094,158.9552764892578,34.03333282470703,76.97993392443253,159.30723743482343,34.37799835205078,76.07667669301796,157.36666226753334,33.54399871826172,76.38339587903954,159.25967161419416,33.840667724609375,137816400,34371700,204436500
2020-01-21,76.45585632324219,158.384521484375,36.47999954223633,77.04755940221253,159.99215048130927,36.571998596191406,76.31819199284013,158.31792643003993,35.227333068847656,76.60559336877427,158.5557410268633,35.349998474121094,110843200,29517200,267052500
2020-01-22,76.72877502441406,157.62351989746094,37.97066879272461,77.28183515069573,159.32628062584678,39.633331298828125,76.63458130371416,157.60449066453182,37.27333450317383,76.94130052804331,159.2406563351917,38.125999450683594,101832400,24138800,470535000
2020-01-23,77.09827423095703,158.5937957763672,38.14666748046875,77.17797035715289,158.66989818737443,38.79999923706055,76.23365270464286,157.2144740501068,37.040000915527344,76.78189247630218,158.08963000411373,37.616668701171875,104472000,19680800,294765000
2020-01-24,76.8760757446289,156.9956817626953,37.654666900634766,78.08846950735138,159.3643204314718,38.25733184814453,76.6852782289865,156.43444278382523,36.95066833496094,77.34461200102739,159.34529119903766,38.04199981689453,146537600,24918100,215304000
2020-01-27,74.61554718017578,154.3701934814453,37.201332092285156,75.29660917774545,155.4165834020012,37.62933349609375,73.63258614594737,152.39157450488025,35.95199966430664,74.8836234420188,153.29526697351514,36.132667541503906,161940000,32078100,204121500
2020-01-28,76.72635650634766,157.39524841308594,37.793331146240234,76.89782887589077,157.68061437029192,38.45399856567383,75.39803343183497,155.12174102533777,37.2053337097168,75.4970547636558,155.79712647746362,37.89933395385742,162234000,24899900,176827500
2020-01-29,78.3324203491211,159.84947204589844,38.732666015625,79.1801343637196,160.5248719679126,39.31999969482422,77.6175430675433,157.61402327863624,37.82866668701172,78.35899064388555,159.65922324879887,38.37933349609375,216229200,34754500,267022500
